"corpus","preloaded/eltenten14_tt2"
"subcorpus","-"
Item,Frequency
",",92161698
".",76752284
"και",64669231
"το",40508472
"να",39673502
"του",36592692
"της",30683725
"την",30010703
"η",26885761
"""",26768652
"που",24955411
"με",24935981
"για",22037769
"από",21127010
"τα",18421744
"ο",17704755
"είναι",17081993
"των",16079887
"σε",15615555
"θα",13886737
"στο",13596412
"τους",13119432
"οι",13116681
"δεν",13040518
"στην",12650924
"τον",12428761
"τη",10547584
")",9797527
"τις",9591555
"(",9134571
"ότι",9068555
"μας",6872017
":",6684741
"μια",5990747
"ένα",5988179
"στη",5398112
"...",5327258
"αλλά",5113991
"έχει",5013885
"''",4914681
"αυτό",4870789
"ή",4784761
"στα",4660430
"στις",4082601
"-",4057882
"στον",4029327
";",3974682
"αν",3871605
"ήταν",3633351
"!",3615716
"μου",3607106
"όπως",3441705
"ως",3166961
"σας",3118281
"έχουν",2944203
"πολύ",2762468
"αυτή",2756319
"/",2650886
"κατά",2591132
"πρέπει",2580354
"όμως",2512681
"μπορεί",2505870
"πως",2419811
"κ",2335020
"κι",2324166
"πιο",2321217
"μόνο",2254094
"όταν",2250164
"μετά",2239819
"κάθε",2168818
"τι",2163805
"οποία",2066113
"μέσα",2063156
"ενώ",1990814
"στους",1989990
"γιατί",1977137
"–",1888231
"σου",1854569
"είχε",1842484
"όχι",1838250
"προς",1835973
"δύο",1811034
"όλα",1710744
"αυτά",1707962
"μία",1677788
"%",1623044
"καθώς",1602016
"χρόνια",1581856
"μέχρι",1532174
"χωρίς",1501570
"σήμερα",1492270
"έτσι",1491525
"μην",1484853
"υπάρχει",1415701
"επίσης",1346020
"ακόμα",1325732
"κάτι",1298802
"κάνει",1279350
"ελλάδα",1275961
"οποίο",1272558
"όπου",1269567
"α",1245409
"τόσο",1231165
"ένας",1231010
"σαν",1223498
"τώρα",1214369
"όσο",1194802
"2",1182810
"δε",1177113
"πριν",1137815
"1",1118316
"ακόμη",1115907
"εδώ",1099511
"τότε",1067174
"ούτε",1041727
"νέα",1038466
"μαζί",1029738
"αφού",1027418
"ευρώ",1022646
"πάνω",1019562
"ε",1010391
"έχουμε",993268
"μεταξύ",992180
"ενός",980601
"σύμφωνα",975539
"ώστε",970758
"υπάρχουν",958680
"έναν",947452
"γίνει",935292
"τρόπο",932727
"δηλαδή",931271
"θέση",930765
"μη",929468
"σ",921511
"3",919815
"αυτές",918173
"πρώτη",917381
"θέμα",907966
"ομάδα",904148
"ζωή",900829
"χώρα",884303
"λοιπόν",877680
"όλοι",874563
"τέλος",871349
"εκεί",852711
"άλλο",847968
"παιδιά",842574
"φορά",842353
"́",841299
"απ",839462
"μεγάλη",837700
"πολλά",833049
"πλέον",828504
"πάντα",827138
"εν",824906
"γίνεται",812058
"απο",807974
"είχαν",807892
"μιας",804132
"άλλη",797280
"ίδια",789455
"λόγω",766278
"στιγμή",758407
"μπορούν",756954
"εκτός",754860
"ήδη",736917
"περίπτωση",734025
"άλλα",733637
"καλά",727736
"πολιτική",722286
"4",717877
"είτε",708466
"εγώ",700941
"λίγο",700790
"όλες",697601
"χρόνο",697309
"5",693378
"κόσμο",686175
"..",685956
"μάλιστα",681447
"πολλές",680114
"επειδή",675597
"ίδιο",673050
"μέσω",671866
"10",671067
"αποτέλεσμα",666938
"ν",665937
"έχω",663365
"αποτελεί",663200
"όλους",659451
"σχέση",658384
"κυβέρνηση",658234
"περισσότερο",655172
"κάποια",655159
"τελευταία",654676
"αυτός",652080
"]",651164
"[",649362
"έγινε",647004
"παρά",636907
"βρίσκεται",636514
"ποτέ",636363
"ώρα",633396
"κανείς",630212
"χώρο",627209
"γι",624386
"κυρίως",622402
"οποίος",622385
"δ",621767
"πώς",620800
"ας",614719
"επί",609173
"μεγάλο",608581
"μέρος",607620
"κάνουν",604888
"π",597910
"αφορά",594674
"πρόκειται",594208
"πρώτο",592849
"εκ",590331
"στοιχεία",588133
"περιοχή",582615
"συνέχεια",581230
"περίπου",579779
"φορές",579427
"γεγονός",577853
"γ",577363
"μ",577034
"ίσως",576958
"κάτω",574665
"έως",574643
"είπε",569816
"όλο",567900
"έκανε",566865
"εάν",566830
"κατάσταση",558752
"εμείς",555960
"ιστορία",555324
"β",551608
"άλλες",551375
"σύστημα",549935
"χώρας",549253
"πρόβλημα",547322
"νέο",545943
"διάρκεια",544656
"σχετικά",543698
"λέει",541038
"βάση",540947
"φαίνεται",538870
"πράγματα",534731
"προβλήματα",534607
"ζωής",533413
"πρόγραμμα",528699
"είμαστε",528622
"ωστόσο",527287
"έργο",519518
"όλη",518457
"2013",515968
"οποίες",510373
"αυτοί",509296
"βέβαια",503874
"λόγο",501252
"πίσω",500939
"ιδιαίτερα",499837
"τελικά",499555
"6",498853
"φυσικά",498761
"?",497902
"ελληνική",496100
"πάλι",495294
"είμαι",494896
"αγώνα",490126
"απλά",488402
"αυτούς",479842
"καλό",476229
"2012",475735
"δυο",471684
"προκειμένου",462383
"αρχή",462103
"καλή",460754
"ανάπτυξη",459585
"απόφαση",458847
"παραπάνω",456258
"εργασίας",455717
"πρόεδρος",455520
"άλλων",453395
"υπό",453302
"διότι",447292
"ειναι",446807
"περισσότερα",444221
"ακριβώς",443913
"επίπεδο",442083
"άνθρωποι",440172
"θέλει",439604
"μέλη",439086
"διαδικασία",438989
"όλων",438674
"αυτόν",435992
"μόλις",435423
"20",434098
"χρήση",434007
"σπίτι",432338
"κρίση",432192
"12",430822
"μέρα",430818
"7",429102
"ό",429008
"σημαίνει",428774
"αυτών",428121
"τουλάχιστον",427279
"σχεδόν",422897
"παιχνίδι",422219
"δυνατότητα",421811
"αυτού",420291
"τίποτα",418579
"μέτρα",415373
"προσπάθεια",414135
"σειρά",414066
"εις",413695
"οτι",410248
"30",407010
"πλαίσιο",405296
"χρειάζεται",404072
"τρεις",404067
"πόλη",403931
"χώρες",403844
"8",403110
"θέματα",402753
"αρκετά",402612
"κάποιος",399938
"έχετε",399681
"περίοδο",399648
"ανάγκη",399317
"αγορά",398501
"μέρες",397337
"μπροστά",396321
"σημείο",395969
"κέντρο",395832
"μπορούσε",395341
"....",395159
"2011",395015
"αυτήν",394895
"δουλειά",393668
"μπορούμε",392331
"ανάμεσα",392037
"''''",389605
"αυτής",388290
"κοντά",387155
"παράλληλα",384377
"τ",384370
"παράδειγμα",383633
"κοινωνία",383199
"γύρω",382935
"πληροφορίες",382631
"15",380772
"ανθρώπους",380314
"υγείας",379733
"πόσο",374215
"αθήνα",373782
"άρθρο",373627
"πολιτικής",372970
"εποχή",371296
"μήνες",370320
"κάνουμε",368760
"οποίοι",367096
"μπορείτε",366579
"έλληνες",364332
"λειτουργία",363967
"όσα",363209
"ναι",363008
"έπρεπε",362469
"11",362269
"σημαντικό",360980
"αρχές",360240
"παιδί",359563
"συμμετοχή",359534
"άλλους",358814
"πασοκ",358448
"τομέα",358112
"ρόλο",356875
"κάποιο",356390
"πρώτα",355498
"οικονομική",352217
"περί",348833
"·",348542
"ώρες",347581
"πραγματικά",345730
"καμία",345511
"πάντως",344926
"ευρώπη",344574
"έχεις",343428
"αλήθεια",343155
"&",343017
"ομάδας",342932
"πορεία",341187
"ευκαιρία",340146
"συνεργασία",340063
"ελλάδας",338724
"κράτος",338672
"διάστημα",338666
"δήμου",338356
"βρίσκονται",337477
"δίνει",337118
"ειδικά",336879
"άτομα",336593
"δημιουργία",336375
"δική",335016
"9",334333
"πολλοί",334145
"πάρει",334126
"2010",332676
"•",331944
"εικόνα",331638
"μέλλον",330732
"μάλλον",330231
"έξω",330167
"απέναντι",329312
"ίδιος",328066
"καλύτερα",327579
"κόσμου",327241
"*",326452
"συγκεκριμένα",325759
"ημέρα",325478
"ομάδες",325374
"πλευρά",325153
"ανάπτυξης",323532
"τέτοια",323093
"!!!",322891
"συνθήκες",322410
"τύπου",322241
"ετών",321822
"άλλοι",321307
"πραγματικότητα",318953
"επιπλέον",318369
"ελληνικό",318217
"πολίτες",316935
"άνθρωπος",314877
"μορφή",313936
"στόχο",313510
"υπηρεσίες",312845
"πέρα",312011
"αύξηση",311951
"π.χ.",311786
"συχνά",311594
"δρόμο",310493
"βιβλίο",309980
"είχα",309446
"νερό",307329
"αποτελέσματα",307144
"μεγαλύτερη",307044
"όνομα",306826
"εταιρεία",306347
"θέσεις",305173
"the",304881
"εαυτό",304541
"επιτροπή",304120
"ελληνικής",303463
"μείωση",301912
"θέλω",301878
"είσαι",301348
"ενδιαφέρον",301339
"πω",300621
"λύση",300392
"εντός",299924
"περιβάλλον",298103
"πια",297827
"δύναμη",297577
"παρουσία",297433
"πόλης",297392
"σίγουρα",295671
"περισσότερες",295218
"τμήμα",295191
"νίκη",294468
"σ.",294070
"πάει",293922
"έργα",293512
"γυναίκες",292614
"εκείνη",292283
"βάρος",291317
"δώσει",291111
"σκοπό",290685
"εφαρμογή",290110
"καιρό",289703
"χαρακτηριστικά",289205
"δικό",288736
"περιπτώσεις",287993
"επιλογή",287316
"κόσμος",286847
"δεύτερο",286554
"εξής",285872
"θέλουν",285649
"κάποιες",285568
"υπουργείο",285147
"νέες",284785
"συνήθως",284684
"ημέρες",284588
"κοινό",283468
"δεύτερη",283072
"χέρια",282843
"σώμα",282817
"πρώην",282708
"δήλωσε",282648
"ηπα",279844
"δυστυχώς",279154
"νέων",278940
"κατ",278049
"αποτελούν",277893
"γίνονται",277252
"ανάγκες",277005
"κυβέρνησης",275409
"μουσική",274544
"λένε",274383
"λόγια",272835
"τελευταίο",272306
"εκλογές",272168
"νέας",271717
"συστήματος",270756
"κανένα",269843
"όσοι",269590
"ταυτόχρονα",269125
"υπουργός",268154
"κάποιοι",267704
"δυνάμεις",267419
"τρία",267196
"πει",266972
"προσφέρει",266437
"ποιος",266071
"απάντηση",265838
"οικονομικών",265094
"λόγος",265001
"13",264869
"ζήτημα",264784
"πέντε",264246
"τρίτη",263752
"μεγάλες",263561
"έρευνα",263333
"άμεσα",263332
"μα",263142
"καλύτερη",261533
"πρόταση",261372
"δημόσιο",261365
"νομίζω",260627
"σημασία",260596
"καλύτερο",259571
"κάνω",259194
"είχαμε",259058
"περιοχής",258799
"μικρό",258309
"ανθρώπων",258236
"αμέσως",257740
"σχέδιο",257706
"οπότε",255810
"αργότερα",255753
"δούμε",255311
"συριζα",253121
"50",253096
"όσον",252495
"2009",251531
"ποσοστό",251398
"ξέρω",251227
"όσους",251183
"τέτοιο",250795
"δικαίωμα",250764
"αγάπη",250625
"κυριακή",250521
"φέτος",250481
"25",250479
"νέου",249635
"πήρε",249422
"άλλωστε",249385
"περιοχές",248982
"επιτυχία",248920
"μικρή",248816
"επιχειρήσεις",248752
"δείτε",248749
"14",248095
"ποια",248068
"ελληνικού",247247
"16",247074
"αντί",247046
"χρήματα",246899
"γυναίκα",246567
"δράση",246564
"άποψη",246303
"ταινία",246030
"τιμή",245830
"λόγους",245745
"μήπως",245378
"βράδυ",244938
"υπηρεσιών",244792
"18",244580
"εθνική",244402
"τίτλο",244369
"αγώνες",243436
"€",243193
"έκθεση",242997
"αιώνα",242896
"οικονομία",242449
"αναφέρει",242380
"έρχεται",242128
"κόστος",242038
"βαθμό",241231
"μήνα",241158
"χθες",241025
"λεπτά",241015
"μεγαλύτερο",240848
"εε",240491
"πιστεύω",239778
"πού",239447
"πολιτικό",238826
"κοινωνική",238810
"έστω",238238
"προϊόντα",238113
"εμπειρία",237891
"συζήτηση",237093
"πολιτών",237085
"δείχνει",236056
"μάτια",235286
"ματς",235220
"αλλαγή",233950
"στόχος",233869
"χρόνου",233791
"γίνουν",233412
"έδωσε",232882
"πρωί",232649
"λάθος",231855
"συμβούλιο",230153
"σημαντική",229206
"μπορώ",229087
"ανά",228826
"χιλιάδες",228799
"σύνολο",228661
"γονείς",228243
"κίνηση",228185
"μέλος",227942
"εύκολα",227891
"εσύ",227792
"μαθητές",227448
"σχέσεις",226857
"βοήθεια",226589
"κράτους",225649
"παρασκευή",224941
"17",224810
"παραγωγή",224314
"μελέτη",223573
"γνωστό",223510
"ευρωπαϊκή",223501
"επιτροπής",223017
"υπόθεση",222304
"δημόσια",222298
"αλλαγές",221818
"o",221457
"στάση",220308
"τρόπος",219998
"συμβαίνει",219401
"υπήρχε",218611
"χαρακτήρα",218453
"100",218415
"συγκεκριμένο",218348
"πρόσωπο",218242
"εξέλιξη",217996
"χρονιά",217896
"προγράμματος",217298
"πολιτικές",217264
"κρίσης",217038
"ουσιαστικά",216746
"υπουργείου",216631
"αναμένεται",216478
"παίκτες",216447
"κόμμα",216383
"παραγωγής",216315
"πάρα",216249
"εθνικής",215687
"2014",215314
"ξεκίνησε",215283
"υγεία",215149
"εβδομάδα",214449
"παρελθόν",214283
"λειτουργίας",213599
"κοινωνικής",213550
"ήρθε",213023
"μπορείς",212732
"απλώς",212731
"ξανά",212584
"μεγάλα",212536
"συμβουλίου",212226
"δει",212067
"αφορούν",211793
"είστε",211788
"παιχνίδια",211783
"2008",211673
"ελλήνων",211523
"εξ",211268
"μερικές",211175
"h",210771
"επόμενη",210473
"διαφορά",210377
"πράξη",210243
"εκκλησία",210104
"κοινωνίας",209960
"έκαναν",208747
"έργου",208679
"κατηγορία",208591
"αλλα",208515
"δημοκρατίας",208514
"ηλικία",208507
"πολλούς",208464
"συγκεκριμένη",207871
"έχοντας",206866
"ενέργειας",206724
"σχολείο",206429
"οποίων",206156
"θέλουμε",205765
"προσωπικό",205679
"αξία",205468
"οικονομίας",205269
"αναφέρεται",205175
"θεού",205127
"21",204740
"σημεία",204687
"εσείς",204271
"οικονομικά",204246
"γρήγορα",204140
"γκολ",204048
"συνάντηση",203962
"παρακάτω",203959
"of",203625
"κομμάτι",203119
"φάση",202560
"εναντίον",202430
"χέρι",202319
"πράγμα",202243
"ιδέα",201787
"διαθέτει",201606
"δίπλα",201587
"ενέργεια",201258
"δευτέρα",201098
"προστασία",201096
"σημαντικά",201016
"παρ",201007
"έλεγχο",200595
"εταιρείας",200392
"σάββατο",200380
"εκδήλωση",200373
"διάθεση",199989
"19",199799
"κάνεις",199528
"περιλαμβάνει",199393
"ανάλογα",199268
"εφόσον",199106
"ι",198928
"παραμένει",198662
"είδους",198468
"διάφορα",198294
"εκπαίδευση",198128
"γενικά",197961
"αποφάσεις",197733
"παιδιών",197629
"λειτουργεί",197585
"γλώσσα",197247
"δύσκολο",197137
"λαού",196668
"εκατομμύρια",196595
"οικογένεια",195993
"δυνατόν",195677
"εμάς",195202
"!!",195020
"καθόλου",194489
"θεσσαλονίκης",194276
"βήμα",194242
"γιώργος",193939
"αγοράς",193911
"δημοκρατία",193880
"κάνετε",193660
"υπήρξε",193628
"λίγες",193527
"τιμές",193287
"εκπαίδευσης",193217
"έκδοση",193098
"κείμενο",192808
"υπηρεσία",192237
"άρα",192219
"έγιναν",191802
"φως",191070
"άνθρωπο",190789
"λίγα",190487
"επίπεδα",190417
"ένωση",190256
"εργαζομένων",189880
"ήθελα",189480
"γνώμη",189454
"λιγότερο",189373
"δεδομένα",189267
"έννοια",188730
"διοίκηση",188043
"συλλόγου",187716
"χαρά",187596
"περάσει",187489
"θεός",187352
"υπέρ",187201
"ευθύνη",187173
"τόνισε",186335
"πέμπτη",186150
"ανακοίνωση",184742
"χ",184485
"22",184344
"τάξη",183931
"40",183712
"εργασία",183566
"ποσό",183309
"βουλή",183189
"άλλος",182874
"οικονομικής",182620
"αριστερά",182553
"προτάσεις",182469
"αξίζει",182324
"δια",181956
"24",181739
"μυαλό",181448
"ευρώπης",181219
"ουσία",181190
"διάφορες",181160
"υπάρξει",181063
"δικαιώματα",180959
"αρχικά",180829
"δήμο",180712
"λογική",180625
"συνολικά",180571
"αγίου",180478
"προϊόντων",180232
"εκατ",179795
"λες",179528
"πρωτάθλημα",179497
"ενα",179310
"γερμανία",179250
"αριθμό",178651
"μαρτίου",178291
"ελληνικά",178051
"ανθρώπου",177876
"προγράμματα",177803
"λαό",177333
"φορείς",177205
"άμεση",176942
"μόνον",176514
"καμιά",176333
"περισσότεροι",176171
"τετάρτη",175922
"ευρωπαϊκής",175738
"θεωρείται",175632
"αθηνών",175592
"πολιτικών",175356
"μέσο",175153
"προσοχή",174805
"εξουσία",174391
"κάποιον",174164
"σχόλια",174118
"δηλώσεις",173832
"πλήρη",173598
"αντίθετα",173541
"καθημερινά",173522
"γη",173387
"λέω",173365
"έτος",173350
"ένωσης",173278
"μελών",173252
"23",171875
"καλοκαίρι",171851
"εποχής",171451
"εμφάνιση",171365
"πότε",171351
"εκείνο",171255
"λαός",171167
"ποιότητα",171163
"συμφωνία",170729
"τόπο",170548
"χωριό",170457
"όρους",170250
"αλλάξει",170184
"μερικά",170097
"αφορμή",170053
"00",169843
"μακριά",169722
"τράπεζες",169719
"οργάνωση",169556
"εξωτερικό",169519
"μόνη",169496
"τάξης",169482
"φύση",169229
"επίθεση",169146
"χάρη",169124
"σημερινή",168932
"φίλους",168803
"πανεπιστημίου",168641
"πρώτες",168612
"πλαίσια",168591
"καν",168523
"πρόσφατα",168197
"επιχειρήσεων",167783
"οποιαδήποτε",167504
"θεσσαλονίκη",167481
"οκτωβρίου",167461
"καρδιά",167214
"ιστορίας",167153
"άρχισε",167140
"προφανώς",167037
"αντιμετώπιση",166978
"αριθμός",166414
"φωτογραφίες",166154
"εταιρείες",166058
"βιβλία",165803
"πρόσωπα",165661
"πανεπιστήμιο",165501
"αύριο",165343
"εξαιρετικά",165303
"πρόεδρο",165219
"φέρει",165212
"υ",164831
"κοινή",164779
"νέους",164614
"κόμματος",164607
"ισχύει",164362
"χώρου",164323
"ζητήματα",164098
"ενάντια",163658
"πηγή",163449
"είδος",163427
"θέλετε",163406
"εντελώς",163293
"βρει",163050
"δήμαρχος",162972
"χώρους",162638
"μικρά",162341
"πούμε",162272
"ποιο",162156
"γενική",162036
"σωστά",161331
"περιβάλλοντος",161253
"υλικό",161089
"επόμενο",160823
"ασφάλεια",160767
"διαφορετικά",160281
"έρθει",160235
"κατασκευή",160069
"σχετική",160049
"δείχνουν",159886
"γνώση",159781
"πολιτισμού",159295
"γράφει",159140
"νόμου",159078
"κατεύθυνση",159016
"παίζει",158855
"ιδιαίτερη",158846
"κλπ.",158804
"φεβρουαρίου",158589
"παιδείας",158347
"ιουνίου",158230
"εθνικό",158214
"δεκεμβρίου",158182
"κοινωνικό",158180
"προσωπικά",157990
"λέμε",157946
"μήνυμα",157899
"χρόνος",157620
"πρώτος",157479
"εφημερίδα",157088
"επιλογές",157021
"λ",156940
"νησί",156881
"νδ",156707
"δίνουν",156327
"αλλιώς",155889
"2007",155728
"κκε",155575
"σεπτεμβρίου",155536
"έξι",155270
"συνεχώς",155266
"κατάφερε",155255
"διεθνή",155163
"δέκα",155148
"συμπεριφορά",155101
"ιανουαρίου",154900
"έναντι",154820
"γραμμή",154794
"λέξη",154683
"οποίους",154293
"οδηγεί",154076
"ψυχή",153691
"μόνος",153568
"παγκόσμια",153529
"άρθρου",153464
"νοεμβρίου",153328
"ενημέρωση",153096
"στοιχείο",152994
"διαχείριση",152893
"αθήνας",152877
"δήμος",152772
"απόψεις",152663
"επικεφαλής",152105
"μένα",151983
"αρέσει",151528
